claim_id,claim_text,artifact_path,evidence_class,dataset,model_pair,metric,sample_size,provenance_status,statistical_gate_status,multiplicity_status,paper_permission,claim_allowed,reason,required_next_step
SW_TEST_BASELINE,"Historical statement: 183 tests passed",reports/CERTGEN_BASELINE_REPRODUCTION.md,VERIFIED_CURRENT,not_applicable,not_applicable,not_applicable,183_tests,"command and environment logged","software verification only",not_applicable,FORBIDDEN_AS_MODEL_EVIDENCE,false,"reproduced at baseline but says nothing about model performance","rerun final suite after repairs"
SW_V9_AUDIT,"Historical statement: V9 audit passed 22/22",data/results/v9_execution_supercharger_audit.json,VERIFIED_CURRENT_BUT_SHALLOW,not_applicable,not_applicable,not_applicable,22_checks,"local audit artifact","does not test repaired theorem or full notebook semantics",not_applicable,FORBIDDEN_AS_MODEL_EVIDENCE,false,"numeric status reproduced but interpretation was too broad","use the new forensic and focused gates"
PKG_GENERATION_INPUT,"Generation input package is ready as a package",data/kaggle_inputs/certgen_cifar10_generation_1k_input.zip,PLANNING_ONLY,CIFAR-10,three planned candidates,not_applicable,0_images,"SHA-256 registered; code/config only","not a statistical artifact",not_applicable,NOT_PAPER_EVIDENCE,false,"archive contains no reference or generated images and is stale after source repairs","rebuild only after reference and checkpoint preflight prerequisites pass"
SMOKE_CERT_V3,"Smoke certificate represents a real pilot",data/results/first_pilot_v3/certificates/smoke_a_vs_b_mmd_rbf.json,SYNTHETIC_ONLY,fixture,fixture A vs B,mmd_rbf,fixture,"synthetic fixture lineage","method diagnostic only",not_applicable,FORBIDDEN,false,"historical real_pilot_non_claim label contradicted fixture provenance and was repaired","retain synthetic-only regression coverage"
SMOKE_REPRO,"Smoke metric cache is real-feature reproduction",data/results/metric_reproduction_audit.json,SYNTHETIC_ONLY,fixture,fixture model vs reference,kid_polynomial,fixture,"smoke paths detected","descriptive synthetic audit",not_applicable,FORBIDDEN,false,"historical real_features_validated label was ambiguous and was repaired","run a hash-bound real reproduction only after cache-v2 validation"
METHOD_RBF_CS,"Union-Hoeffding monitoring is anytime-valid for the implemented RBF stream",docs/theory/CERTGEN_STATISTICAL_VALIDITY_AUDIT.md,VERIFIED_CURRENT_CONDITIONAL,declared benchmark,A vs B,mmd_rbf,not_applicable,"no real lineage yet","conditional theorem path implemented","Bonferroni required for families",METHOD_STATEMENT_ONLY,false,"guarantee requires bounded constant-conditional-mean units and frozen choices","validate A/B provenance reference draw plan caches metric reproduction and family manifest"
METHOD_BETTING,"Finite-grid betting interval is a claim-capable confidence sequence",certgen/stats/cs.py,SYNTHETIC_ONLY,not_applicable,not_applicable,bounded_mean,not_applicable,"implementation inspected","continuum coverage unresolved",not_applicable,FORBIDDEN,false,"method now marks time_uniform=false and cannot decide direction","supply an applicable theorem and conservative inversion or keep diagnostic"
METHOD_EBH,"e-BH output certifies directional ranking edges under global monitoring",certgen/certs/multiple_comparisons.py,BLOCKED,not_applicable,multiple pairs,point_null_evalue,not_applicable,"implementation inspected","valid only in narrower fixed-time marginal e-value scope","directional and global-stopping proof missing",FORBIDDEN,false,"point-null rejection is not direction and adaptive global stopping is unresolved","new directional construction and global-filtration proof required"
REAL_REFERENCE,"A validated CIFAR-10 reference exists",registry/manifests/cifar10_r1_reference.jsonl,MISSING,CIFAR-10,not_applicable,not_applicable,0_rows,"empty manifest","reference sampling gate not run",not_applicable,FORBIDDEN,false,"no accepted local source was found","provide and validate an accepted CIFAR-10 source"
REAL_PREFLIGHT,"All planned checkpoints load and generate valid smoke images",data/results/v7_checkpoint_preflight_status.json,MISSING,CIFAR-10,planned checkpoint registry,not_applicable,0_real_models,"metadata/planning only","not a statistical artifact",not_applicable,FORBIDDEN,false,"no copied-back real preflight ZIP exists","run mandatory Kaggle preflight after reference materialization"
REAL_GENERATION,"Real model samples exist",registry/manifests/cifar10_r1_generated_pilot_1000.jsonl,MISSING,CIFAR-10,planned checkpoint registry,not_applicable,0_rows,"empty manifest","not evaluated",not_applicable,FORBIDDEN,false,"no real generation output was imported","run and safely import validated generation after preflight"
REAL_FEATURES,"Validated Inception or CLIP feature caches exist",data/features/cifar10_r1,MISSING,CIFAR-10,planned model/reference roles,Inception_or_CLIP,0_rows,"directory absent","cache-v2 and reproduction gates not run",not_applicable,FORBIDDEN,false,"all 32 NPZ files in data are smoke fixtures","extract import migrate and validate real caches"
REAL_METRIC_REPRO,"A trusted real metric reproduction gate passed",data/results/r1d_metric_reproduction.json,MISSING,CIFAR-10,planned model/reference roles,mmd_rbf,0_real_rows,"historical status only; no real hashes","hash-bound gate not passed",not_applicable,FORBIDDEN,false,"current R1D file is not tied to real caches/reference plan","run independent implementation or trusted-target agreement on exact inputs"
REAL_SANITY,"Real null and obvious-gap controls passed",data/results/v7_metric_sanity_gates.json,MISSING,CIFAR-10,controls,mmd_rbf,0_real_controls,"planning status only","control gates not run","registered control family required",FORBIDDEN,false,"no real reference/features exist","execute preregistered controls before contestable interpretation"
REAL_CERTIFICATE,"A real directional certificate exists",data/results/r1e_undecided_fraction.json,MISSING,CIFAR-10,planned pairs,mmd_rbf,0_real_certificates,"no qualifying parent lineage","all real statistical gates blocked","Bonferroni family absent",FORBIDDEN,false,"existing certificates are smoke/replay artifacts","run first pilot only after all same-lineage gates pass"
REAL_UNDECIDED,"The real undecided fraction or samples-to-decision is known",data/results/r1e_undecided_fraction.json,MISSING,CIFAR-10,planned family,mmd_rbf,0_real_comparisons,"no real aggregation lineage","right-censoring code repaired but not executed","family absent",FORBIDDEN,false,"no claim-capable comparison family exists","aggregate complete preregistered pilot including invalid and censored members"
PAPER_RESULTS,"The manuscript contains empirical CertGen findings",paper/sections/05_results_placeholder.tex,MISSING,not_applicable,not_applicable,not_applicable,0,"explicit placeholders","no approved results",not_applicable,FORBIDDEN,false,"paper has no validated empirical artifacts","inject only through the separate claim gate after real study"
