sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
1,baseline_full_pytest,python3 -m pytest -q,.,2026-08-09T13:37:22.325990Z,2026-08-09T13:37:47.059539Z,24.732663,0,PASS,reports/icml2027/command_logs/0001_baseline_full_pytest.stdout.log,reports/icml2027/command_logs/0001_baseline_full_pytest.stderr.log,,,,False
2,baseline_integration_audits,python3 -m pytest -q -m integration_audit -o addopts=,.,2026-08-09T13:37:53.718823Z,2026-08-09T13:39:25.003242Z,91.283504,0,PASS,reports/icml2027/command_logs/0002_baseline_integration_audits.stdout.log,reports/icml2027/command_logs/0002_baseline_integration_audits.stderr.log,,,,False
3,baseline_compileall,python3 -m compileall -q certgen scripts tests,.,2026-08-09T13:39:49.571223Z,2026-08-09T13:39:49.694346Z,0.122760,0,PASS,reports/icml2027/command_logs/0003_baseline_compileall.stdout.log,reports/icml2027/command_logs/0003_baseline_compileall.stderr.log,,,,False
4,baseline_imports,python3 -c 'import certgen; import certgen.discovery; import certgen.notebooks.environment_bootstrap; print(certgen.__version__)',.,2026-08-09T13:39:49.781516Z,2026-08-09T13:39:49.946523Z,0.164477,0,PASS,reports/icml2027/command_logs/0004_baseline_imports.stdout.log,reports/icml2027/command_logs/0004_baseline_imports.stderr.log,,,,False
5,baseline_execution_path_security_tests,python3 -m pytest -q tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-09T13:39:50.039544Z,2026-08-09T13:39:58.475768Z,8.435499,0,PASS,reports/icml2027/command_logs/0005_baseline_execution_path_security_tests.stdout.log,reports/icml2027/command_logs/0005_baseline_execution_path_security_tests.stderr.log,,,,False
6,baseline_notebook_determinism,python3 -m certgen notebooks check-determinism --json,.,2026-08-09T13:39:58.600152Z,2026-08-09T13:39:58.872737Z,0.271995,0,PASS,reports/icml2027/command_logs/0006_baseline_notebook_determinism.stdout.log,reports/icml2027/command_logs/0006_baseline_notebook_determinism.stderr.log,,,,False
7,baseline_notebook_static,python3 -m certgen audit notebooks --json,.,2026-08-09T13:39:58.972459Z,2026-08-09T13:39:59.140820Z,0.167770,0,PASS,reports/icml2027/command_logs/0007_baseline_notebook_static.stdout.log,reports/icml2027/command_logs/0007_baseline_notebook_static.stderr.log,,,,False
8,baseline_diagnostic_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-09T13:39:59.236321Z,2026-08-09T13:39:59.436581Z,0.199685,0,PASS,reports/icml2027/command_logs/0008_baseline_diagnostic_bundle.stdout.log,reports/icml2027/command_logs/0008_baseline_diagnostic_bundle.stderr.log,,,,False
9,baseline_preflight_bundle,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-09T13:39:59.532191Z,2026-08-09T13:39:59.756374Z,0.223537,0,PASS,reports/icml2027/command_logs/0009_baseline_preflight_bundle.stdout.log,reports/icml2027/command_logs/0009_baseline_preflight_bundle.stderr.log,,,,False
10,baseline_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-09T13:39:59.855520Z,2026-08-09T13:40:00.028624Z,0.172561,0,PASS,reports/icml2027/command_logs/0010_baseline_provenance.stdout.log,reports/icml2027/command_logs/0010_baseline_provenance.stderr.log,,,,False
