assumption_id,component,assumption,implemented_check,current_status,violation_consequence,claim_effect
A01,estimand,"Extractor, weights, preprocessing, feature normalization, metric, gamma, pair, seed, block size, alpha, horizon, and family are fixed before stream inspection","Kernel/gamma/seed/block metadata exist; full immutable design-lock hash is not yet required",PARTIAL,"Adaptive choices can invalidate conditional-mean or multiplicity guarantees",BLOCK_REAL_CLAIM
A02,raw_stream,"A and B cache rows are mutually independent IID draws from their declared model populations and were not selected after inspection","Array finiteness/dimension checks only; generation provenance and independence are not established",UNVERIFIED,"Conditional mean need not equal the population MMD difference",BLOCK_REAL_CLAIM
A03,reference_stream,"Reference observations are IID from the declared reference target","Real-like API requires validated IID-with-replacement plan over fixed empirical pool; no real plan exists",REPAIRED_GATE_NOT_EXECUTED,"Unique without-replacement cache order is not covered by current proof",BLOCK_REAL_CLAIM
A04,pairing,"No A/B draw is reused across disjoint raw stream units","Code uses a single seeded permutation and disjoint pairs; duplicate source IDs are not checked by array-only API",PARTIAL,"Cross-unit dependence can break the CS argument",BLOCK_REAL_CLAIM
A05,reference_pairing,"The same R pair may be shared within A-vs-B unit but draws are independent across units under the sampling contract","Algebraic shared-R cancellation is implemented; draw-plan validator verifies deterministic with-replacement indices",CONDITIONAL_PASS,"Unregistered reuse can alter dependence and target",BLOCK_IF_FAILED
A06,boundedness,"RBF gamma is finite positive and all stream values lie in declared support","Gamma validation plus stream-value validation; exact shared-R support is [-3,3]",PASS,"Invalid support invalidates Hoeffding/e-value guarantees",BLOCK_IF_FAILED
A07,bandwidth,"Gamma is fixed without using certificate-stream outcomes","Default gamma=0.5 has a fixed protocol label; custom gamma defaults to preregistration_not_verified",PARTIAL,"Post hoc bandwidth selection is unaccounted multiplicity/adaptation",BLOCK_CUSTOM_GAMMA_UNLESS_LOCKED
A08,conditional_mean,"Each stream unit has constant conditional mean Delta_AB given the past","Follows from IID/precommitted triples; cannot be inferred from arrays alone",UNVERIFIED_REAL,"Union-Hoeffding and point-null e-process guarantees fail",BLOCK_REAL_CLAIM
A09,blocking,"Blocks are nonoverlapping and block size is fixed","Implemented; requested budget feasibility now checked",PASS_CONDITIONAL,"Overlapping/adaptive blocks create dependence or selection",BLOCK_IF_FAILED
A10,stopping,"Only the first valid CS boundary crossing is used and no favorable restart is selected","Certificate scans states for first crossing; resume/restart registry not integrated",PARTIAL,"Reported stopping time can be selectively biased",BLOCK_REAL_CLAIM
A11,hoeffding,"Bounded conditionally mean-stationary units use the summable two-sided union schedule","Formula and deterministic tests implemented",PASS_CONDITIONAL,"Time-uniform coverage is unsupported",BLOCK_IF_ASSUMPTIONS_FAIL
A12,betting_grid,"Finite-grid inversion covers every possible continuum mean","No proof; code marks time_uniform=false",FAIL_OPEN_OBLIGATION,"Directional interval may undercover between grid points",NO_CERTIFICATE
A13,empirical_bernstein,"Historical empirical-variance radius matches a directly applicable theorem","No pinned theorem; code marks time_uniform=false",FAIL_OPEN_OBLIGATION,"Optional-stopping claims unsupported",NO_CERTIFICATE
A14,point_null_evalue,"Declared bounded stream satisfies E[Z_t|past]=0 under each tested equality null","Code rejects out-of-bound inputs; sampling assumptions remain external",CONDITIONAL_PASS,"Terminal object may not be an e-value",BLOCK_EBH_IF_FAILED
A15,multiplicity_family,"Every tested pair/metric/extractor/dataset/kernel is in one predeclared family","Batch counts pairs times metrics; no complete cross-dataset/extractor family registry",PARTIAL,"Bonferroni denominator may be too small",BLOCK_GLOBAL_CLAIM
A16,e_bh,"Each input is a valid marginal e-value at a fixed/predeclared analysis time","Algorithm implemented; global dependent stopping explicitly unsupported",CONDITIONAL_PASS_POINT_NULL_ONLY,"FDR or direction can be overstated",NO_DIRECTION_OR_GLOBAL_STOPPING_CLAIM
A17,metric_reproduction,"Audit is independent and hash-bound to metric specification, feature inputs, and reference draw plan","Real-like API now fails closed on required hashes/class/specification",REPAIRED_GATE_NO_PASSING_REAL_ARTIFACT,"Wrong convention or inputs can be certified",BLOCK_REAL_PILOT
A18,polynomial_metrics,"Polynomial KID/MMD shares bounded RBF support","Explicitly false and blocked by API",PASS_BLOCKED,"Unbounded stream invalidates RBF proof",DESCRIPTIVE_ONLY
A19,fid_fd,"FID or Frechet distance has an audited bounded anytime stream","No such stream exists",MISSING,"Anytime certificate would be unsupported",DESCRIPTIVE_ONLY
A20,evidence,"Synthetic tests and cache sanity are not real model evidence","Outputs retain claim_allowed=false; V6 cache sanity demoted",PASS,"Engineering diagnostics could be promoted as results",BLOCK_PROMOTION
